,comments
813,"My perfect D&amp;D party is 3 people, I mostly run with just two other guys I know really well. We can play anything we like and we always have a great time."
814,Getting rid of all the old sweaty geeks that made good games is why blizzard went downhill. Almost every tech company replaced sweaty anti-social geeks that could make great games and great artwork with gender study grads and HR reps so that their company looks better at first glance to investors due to a &quot;high diversity&quot; despite how artificial it is.
815,Those practices going unchecked for so long is exactly how we got where we are now.
816,I had the same experience growing up in the 90s - Blizzard was one of the biggest incentives for me to start studying dev back then
817,"Being in IT is the same shit.<br>replaceable blah blah blah.<br>Sales and devs are the rockstars, not the guys that fix the shit."
818,"Funny thing I was interviewed by Blizzard and passed, they took a while to actually talk about the offer only VERBALLY said I passed. Then a month goes by and the recruiter out of the blue when I had forgotten about it reach out to me to ask if I&#39;m interested. I ask him that my only concerns is &quot;quality of life&quot; since I&#39;m Canada based as of right now and I would have to move to US, and comparing Irvine to where I live it would kinda suck. He said, with the most broken look I&#39;ve seen a recruiter &quot;no your quality of life will very likely become a lot worse&quot;. Thanks recruiter, you made me dodge a bullet. The project I was hired for was cancelled weeks ago and the entire team let go."
819,"My two dads talking, made my week"
820,"my rent in LA was 1800 years ago, townhouse (moved in with a gal) - gotta have roommates to lvie in california. anyone can do it, just need roommates<br><br>and then eventually my rent became uhh $10,000"
821,"Blizzard was rough - they hired women and teh women accused all the brilliant people who did everything that made the company&#39;s games worht playings of some bs, so they all were fired - and now the games will suck forever.<br><br>Sabotage."
822,Can you shut up to two seconds and let this guy talk? You’re like the Bert Krischer of gaming YouTubers. Jesus Christ.
823,"oh gods, coloured badges, that shits toxic as hell, worked 3 places that used that and... was one of 3 people who caused the owner to abolish the system, one day i was waiting on a delivery to be able to do my job... and heard him talking about a problem they had.. having nothing better to do i went over.. both got the computer system working again, and spent a few hours getting things setup so that what happened wouldnt happen again, i had ZERO exp with this stuff just.. life long tech geek and able to figure shit out and read a fckn manual..... <br><br>owner saw my badge and was confused as.... i wasnt part of the staff who should have even been there... let alone been able to fix it before they could get a tech out from the company to fix it.. when he asked why, and how i did it.. &quot;i heard you complaining about 2 weeks of down time before they could get somebody out to fix the computer that controls these damn things... and computers are soft of my thing...&quot;  ended up moved from a job that was often what amounted to busy work, to one that used my skills, he also realized how his staff had been dismising anybody with a lower badge...even if you made more then they did... something else he discovered by removing that was, people who were getting undue respect started to show their true colours and could either be corrected or would often  quit because they felt entitled to act like a &quot;rockstar&quot; (whats with that word and dbags? because no joke i have heard it from  dbag dev types and their managers more then a few times...)... <br><br>i know a few people who worked for blizzard over the years, 3 worked for blizzard north and shifted to ca..then moved back north because living expenses made their pay &quot;hike&quot; a net loss.. and the working conditions sucked, lots of meaningless overtime as the video pointed out , busy work testing stuff you knows broken.. just to be doing something... and often it being overtime... that makes zero sense... why are you running over time when you got nothing thats ready to test and debut?<br><br>honestly, they all said blizzard north was a much better experience, 2 only heard about it but EVERYBODY agreed it a very different environment, disconnected from south by a lot of physical distance...   <br><br>they all told people who were being treated unfairly to find other work when in CA, and even got a few hired at studios that sprouted up from the closure of blizz north, why?  because if you see talent... and can nab it up, even if you gotta pay so it can move... one of the best debuggers they hired was sure he sucked at debugging because of how he was treated... his boss was taking credit for his work it later turned out, she was making nice bonuses for doing her job and other peoples... when he quit and took the 3k offered to move...he and his GF, GF&#39;s sister and his cousin who were all sharing a small place, moved up to the seattle area where the place ended up hiring them all, buddies now wife got hired to manage the old hotel they turned into employee housing, wifes sister turned out to be shite at writing her own code but she can re-write and optimize other peoples code with ease, we realized after getting her stoned what the problem is.. she cant decide what the best way to start doing any given task is.. she gets stuck in a mental loop trying to calculate the best way to do the task...where most people just do whatever is the least effort and let somebody else deal with debugging/optimization (or so im told..) <br><br>on the other hand, my buddy ended up getting hired for a job title they came up with after reviewing his skills, and let him form a team from the new hires and from the people not in teams or looking to move.. their whole job was to optimize and debug said optimizations, a few times they had to take on debugging because code the were sent was such a cluster-fck and rats nest that.. it was easier to have the team just re-write the code then try and debug it or get the main debugging teams deal with it. many of them were not really suited to re-writing a whole application....(they finely got the company to stop contracting indian and middle eastern coding firms to &quot;speed development&quot; since over 80% of what they got from  them had to be re-written to a heavy degree to just function.. so it wasnt really speeding dev.. it was adding more work... on example was them getting back an application that was just designed to sync multi folders/network folders/drivees.... the person wrote it in java... it was not good... due to poor memory management it would,not memory leak so much as just fill memory with junk till the system ran out of memory... took a highghschool intern 3 days to write something better in C# that could be deployed to all their system that needed it, <br><br>oh  and why did they do this?  because the commercial software they paid over 30k for was broken and wouldnt keep all sources in sync, and after 9mo of them saying it would be fixxed in the next update.... they decided they needed to just do something themselves... apparently the kid just used a couple open source projects and re-wrote parts to do what he needed, and made a very simple but functional UI for it... and earned himself a full hire before he was even out of HS...  because... 3 days... 3 bloody days and it needed no patching till they decided they wanted to get it setup to do the same thing but also over the net to other locations.. in the end the kid just modified syncthing and set it up so it just runs in the background on all invovled systems keeping stuff in sync across the swarm.."
824,Nerds.
825,"I used to love Blizzard Games, but damn if I won&#39;t ever play one again. Certainly not until sexual harrassment, sexism, classism is fixed."
826,"Used to work as a QA in a company that struggled to release anything. It had very separate dev and QA and it hurt lots. We did a side project where I was embedded in the dev team and we released really fast, automated lots of it etc, built new tooling to support faster turnaround of things including the main product. The company were blown away and gave us awards to recognise how much better we worked than the main flow. Then they dissolved our team and told us all to move the side project into working in the segregated way the rest of the company worked. Nothing learned, and basically every member of the team left within 3 months (devs, QA &amp; devops all left, not just QA)."
827,They are not legally allowed to stop him from working in the UK.
828,The Ben Brode example was terrible in terms of how people felt about the game.
829,"I work in IT support and frankly it&#39;s a lot less stressful than development.  I enjoyed programming, but I would never want to work for a company for what&#39;s expected of you for what you get.  I got into programming to work on games and I&#39;m happy I never worked for one of these companies.  I just write some small programs here and there to fix some issues."
830,I can&#39;t believe that we are here today. We are selling complex versions of &#39;paper rock siccors&#39; on processed rocks to people so they can waist time. People are so into games there never this moment of introspection.
831,"Have there been such a thing as &quot;rockstars&quot; in game dev since 16 bit games were a thing? Surely it&#39;s teamwork, good design, scripts and reliability that make a game?"
832,"I was trying to find your channel on Spotify because I just wanted to listen and could not find it. I suggest solving that issue. Other than that this was a great talk, very interesting!"
833,"Please, more of this stuff!"
834,What does blizzard even do nowadays?
835,QA IS engineering...
836,"Ooof, coloured badges = Gear Score in WoW....."
837,Game devs are dumb. This dude tells a story about being abused by his superiors and instead of quitting he pitched a new team to help them. Battered wife syndrome.
838,QA shold be writing tests before developers write any code.
839,"My direct boss transferred to another location and after that for roughly 4 months there was no manager over our team, so me and the other person who had the most time in the job more or less started to just... DO the job of our manager. No pay increase, no benefits, just more work and everything still had to be done even though we were always at least one employee down. This affected my health and I started feeling sick more and more often leading to me missing more and more days (UNPAID time off, I gained NOTHING from missing work), until I just went in and told them I would not do it anymore. I had NO IDEA how stressed out I was because I for a while have had tinnitus off and on again, but the MOMENT I told them that... IT STOPPED, All of a sudden so much stress I had no IDEA i was carrying just fell off. In that same regard the moment I told them that, ever opportunity to do more to earn more pay was absolutely denied to me.<br><br>Needless to say when something better came to me rather than give them the comfortable 2 weeks notice, I quit that day."
840,work as an engineer in a very IP locked industry in the UK. Unpaid non-competes are extremely illegal under british common law. EU law is meaningless because lol brexit but yeah a lawyer would get it removed and a cash settlement for you in about a week.
841,"Overwatch has this exact problem of the devs not playing the game, not understanding the game, etc."
842,I think the fear of an embedded qa was collussion.
843,"Reading the starting tweet this discussion is about reminds me of something that I had to find out myself as well. Something that, sadly, we have to ingrain into people&#39;s heads: HR is not here to help you. Period. The purpose of HR is to vet potential new hires and to keep the company from being held liable from employee&#39;s claims. They are there to protect the company from you, not the other way around. This goal only aligns with your own sometimes if it&#39;s against another employee."
844,"There are a few things I did as an adult that I wish someone did for me when I joined the workforce, and one of them is that every time I get to talk to any intern, I give them &quot;the talk&quot;. Even though I live in a country that has fairly strict labour laws, shit still happens and I make it a point to tell them &quot;don&#39;t do any work without a contract, ask for confirmation of all promises in writing, when someone wants you to do something big or complex, ask them for detailed specification of what they want in an email so they can&#39;t later say they asked for something else&quot; and one of the things I sometimes hear on that is &quot;well won&#39;t that make me not liked by managers?&quot; and my answer is always &quot;The only people who have any problem with that are people who want to screw you over&quot;. I&#39;ll have to add &quot;HR is there to protect the company, not you&quot; to this list cause that&#39;s brilliant."
845,"The exception is not the rule, and QA is not engineering. QA is really important but words have meaning"
846,"Listening just to the first 10 minutes, my first job as a dev was like the dudes at blizz same as minimum wage 12-14 hour days since I joined at the first 3rd of crunch time. <br>After 3 months I just forgot to turn up. That&#39;s not a life"
847,"I am convinced, HR is the same people that would sign up for a firing squad in world war cases."
848,Welcome to Blizzshits &quot;where we churn out shiet products for your precious money&quot;... we mean &quot;We make Tripe A quality games for you pleasure!!&quot;
849,"In the US Legal Eagle on youtube is friendly and says to contact him and he will try and help.  <br><br>I spent years doing volunteer QA for games.  My first bug was in MajorMUD (I was so proud of that).  City of Heroes, Warcraft (Through Pandaria), Starwars Galaxies, later Star Trek Online, Starwars the Old Republic.  <br><br>I applied to Blizzard and several other companies and got an interview with folks at Blizzard.  They liked my approach and how Id test things but said Im not a good fit.  I asked them for advice on improving my resume off the record if needed.  The guy said off the record your too old - we need young people only they can work as hard as we need.  <br><br>So I gave up on working in games.  I still pick apart how games are laid out, quest directions, etc, for fun."
850,brown and yellow badges? literally shit and piss
851,This feels like dejavu of Nijisanji disaster
852,he/him 🙄
853,I seen thor and clicked new sub!
854,"QA is treated like a shit everywhere, it is just a bunch of guys hired to be called retards and spit on by the developers"
855,This is the greatest most informative podcast on Youtube. ❤ You both are amazing!
856,"As a Scando, the average American job environment sounds so fucking dystopian and evil lmfao"
857,"To be fair though about the whole HR thing, protecting the employee can also be protecting the company, but that obviously can&#39;t happen at HR only, but also needs upper management and owners that are also in on human resource management style that emphasizes actually happy and loyal employees. Sadly these things can also go very sour very quickly."
858,Thor casually building Bifrost...
859,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=900"">15:00</a> This is why I enjoy Spiderweb Software games. Dude just makes low budget but competent games of the type he wanted to play."
860,Twitter should just make it so that everyone is allowed to make only 1 tweet per day. <br>Would filter out sooo much garbage.
861,This is what happens when you have a society where EVERYONE NEEDS to identify and have &quot;significance&quot; in every aspect of their life.... The ego swells and poisons the individual/environment.
862,Bullsh1t detector? That is a blessing
863,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=3460"">57:40</a> &quot;we&#39;ve investigated ourselves and determined we did nothing wrong, get fucked&quot;"
864,walmart does the same shit as blizzard btw
865,why is prime hair transparent? is he a ghost?
866,"I think the lesson here is that “This Too Shall Pass.”<br><br>Enjoy the good times when they’re good.  They won’t be good forever.  Don’t let yourself get too down when times are bad, they won’t be bad forever.<br><br>Blizzard 1995-2005 rip."
867,he/him opinion discarded
868,"My first job in Australia back in 2007 was just working in the kitchen helping doing dishes and occasionally on the floor or at the till as well, starting salary for my age was $18.90, I mean yeah that&#39;s Aussie dollars but still. That&#39;s crazy how much he was getting in 2009 in America working for f***ing Blizzard of all places. I guess the only positive thing you can argue with that is that hey at least it will look good on your resume that you worked at Blizzard, so it&#39;s good on paper for your career, but only as a stepping stone so u could find something better later or start your own thing."
869,"The strangest thing no one seems to notice, and a lot should, is why there is never a QA representative during a developer panel at a gaming convention that players can talk to. <br><br>Developers will tell people to mainly enter in through QA, but then there is no one from QA to talk to them about what they do at the company, as no QA is ever the same."
870,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=1500"">25:00</a> yeah that&#39;s what you get when you have shitty labor laws. As far as I remember, it is illegal to dowgrade an employees salary in Brazil. You can never make less than what you are making unless they fire and re-hire you."
871,"I hear companies looking to hire SDETs (Software Development Engineers in Test) or Automation QA and complain they have a hard time finding anyone. Yes, because all those who are skilled to do that are also skilled enough to be Software Developers. And guess which class of developer gets paid more."
872,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=2640"">44:00</a> Oh but they did audits.<br>... Performed by an internal team.<br>Who didn&#39;t find anything wrong in the company.<br>Sweet, innit?"
873,"The more you learn with this dude talking about Blizzard, the more it&#39;s just sad to hear those stories.<br>What an horrible place to work for."
874,"In UK You do have garden leave, but it is usually paid and it is usually exec level jobs. Plus it has to be a very specific to the same role to stop you working."
875,"Remember when Blizzard answered to a woman in a panel what model catalog they should model their characters after?<br>Hits different now, doesn&#39;t it?<br><br>THE FUCKING CEO"
876,"Gaming devs are &quot;high status&quot; but low pay. I don&#39;t really like gaming that much, personally. Waste of time."
877,$10/hr in 2009 aint so bad LOL
878,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=2623"">43:43</a> start a second company that freelance external audits. Hire people on temp rotation."
879,savage... i hope one day to be so disgustingly wealthy and disconnected that i to fall under the impression that telling people they are replaceable is a morale booster.
880,Dude you obviously didn&#39;t know who Mike was
881,"Unions people, form them."
882,Please stop interjecting
883,"As part of the 1900, former HR/Recruiter (and still looking for the next thing)... this shatters so completely the beautiful picture I had about working at Blizzard for the rest of my career. Wishing everyone affected the best, if anyone needs a talent professional feel free to hit me up"
884,"This makes me want to never play a blizzard game ever again, I&#39;m so glad I haven&#39;t. They don&#39;t even have the common decency to approach the team as a whole and say hey look, we have an exit package we need to get rid of 2 of you any volunteers on this package and then if not, you go by seniority. Downsizing and layoffs are understandable but damn..... This is a disgusting practice."
885,"Actually, AWS is a fine place to work at, there are problems internally, but mainly because each group is structured in a way that they function autonomously this means that one person experience at AWS is wonderful, meanwhile another person has the worst experience of their lifes."
886,"I work in IT Project management for a studio, I know a lot of people that work at like sledgehammer and such. Few people that i know work  in the same line work. just woke up in the morning and found out they were layed off. LinkedIn was just a mess off people saying that they lost their jobs, and it was just sad knowing that a bunch of my friends, mainly that i won&#39;t get to work with them. I am still working on projects with out them and it is just strange. <br>I worked in IT at Amazon (in a whorehouse) and then going to working at a game studio, my manager did something similar to what yours did. Because I was use to the culture of backstabbing at Amazon that i had retrain my brain to not always be  on edge and in defense mode. Now I have friends that i work with that I don&#39;t have to worry about going behind my back for stupid things."
887,"HR is there to make sure that the humans remain resources, as soon as they think you aren&#39;t resourceful anymore, they ditch  you."
888,wtf insane collab
889,&lt;3
890,"we call ourselves adults, but you wanna know the big secret kids.....we&#39;re all just still kids too just in older bodies. which is why you see so many supposed adults. which  is why you still see cique cultures, and petty bull, and greed and crap between what are supposed to be adults....we&#39;re all just kids hurtling through space on the same rock as you without a damn clue what we&#39;re doing."
891,litterally EVERYTHING HAPPEN TO ME
892,If an employee looses compensation without authorization from the employee that is straight up illegal.
893,&quot;Tell the people what Southern California is.&quot;
894,&quot;Diversity is Strength&quot; <br><br>*citation needed
895,"All I wonder is, does Blizard even see this? Can’t imagine a sensible person would go about their day normally after finding out about this."
896,i m from germany and a lot of the problems you described are solved by having better labor laws AND having worker&#39;s councils with participation in a lot of decision making and as a control mechanism
897,I&#39;m glad YouTube brought your channel up. this was very interesting
898,15 years in AAA games. I can&#39;t figure out if this is triggering or cathartic.
899,"Such an American thing, &quot;HR is not there to protect you, it&#39;s there to protect the company&quot;, I don&#39;t think it&#39;s true"
900,"I highly doubt thats legal, and I think ignoring it and getting a new job, calling Blizzards bluff would be fine."
901,"I will never forget Kil Jaeden during the Legion Expansion, who the devs promised was totally working and they could totally kill it easily with their in-house raid team led by the game director at the time Ion Hazzikostas, only to watch the boss despawn every time it was supposed to change phases because they had no QA on team 2 and kept breaking the entire game on a weekly basis."
902,Hearing how Blizzard is run really tells you how they were not able to make a good game for like 15 years now. Working for Blizzard is how I imagine hell.
903,"The more I hear Thor speak, the more I&#39;m convinced he&#39;s a genius."
904,Yeah man going from a QA to a Principal you truly understand the disrespect out there for people
905,"I used to work overnights at a Coffee Shop, I made 8.50 an hour. Inventory would arrive right as my shift would end at 5 am, but that was also the start of the morning rush, so I would stay late to unload inventory so morning crew could manage the line. I checked  my pay check by chance 1 day and noticed that for that hour I would stay over to work the freight, I was only getting paid $8, they where removing my overnight differential for that time."
906,how ironic that the avg viewer duration is 1337  :)
907,LOVE this colab. My best boys.
908,"in the EU , Great Britain have left."
909,"Honestly, Blizzard&#39;s internal culture and practices like this show in the final product of their games and that&#39;s a huge part of why I can&#39;t stand any of their products in recent years. Toxic companies make toxic experiences as much for their players as for their employees."
910,"So I own a business, obviously not as big as Blizzard, but re: low man on the totem pole (with the accommodations), as much as it sucks, it&#39;s totally understandable and should be for anyone objectively looking at it. Making a lot of accommodations for a long-time employee or for a high level one is one thing. making a lot of accommodations for a new hire at a low level of the totem pole is a whole different thing altogether. When I have hired people, I have absolutely had to turn people away who I wanted to hire but I just could not make accommodations. Think about if you are a supervisor at a construction site and a great candidate comes across your desk BUT they live a city away and have no vehicle. What do you do? It&#39;s a very difficult decision to make but sometimes you have to make tough choices. I don&#39;t necessarily think it&#39;s fair to shit on a company for not wanting to make accommodations to their policies.<br><br>At a small company, it may be easier to pivot and make accommodations, but for a big company, suddenly there are issues. If you let this guy do it but not another guy, the other guy could sue over it. Etc. Who knows what systems were in place or what meetings etc might have required being in person. It&#39;s not always as simple as it seems."
911,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=1016"">16:56</a> whoa, being payed 36% of the industry standard is fucking insane to me, it only just dawned on me how HARD Blizzard was fucking its employees over for years (and still is)."
912,The women of blizzard have been saying this for a long time. Something about there being a culture of stealing women employees pumped breast milk as a &quot;joke&quot;
913,two words exactly describe this problem: BOBBY KOTICK...a demonic predator/monster encased in human flesh.  HE should have been the final boss in Diablo II...
914,"At the beginning on WoW i played it, and cause speedsteping of cpu&#39;s was still a new thing, the calculations of movements where broken (800mhz on game start, 1600mhz while gaming). I get up to Level 34 until i get banned for that. Had to disable the feature in BIOS to get the account activated again. So i was sure it was implemented on client side. After seeing on how slow the movement was without that i stopped playing cause bore out."
915,Omg two software goats
916,working 4 peoples jobs... that hits way to close to home :/
917,"Forcing return to Office for someone who has a disaiblity, like needing to stay home is illegal and disability discrimination ESPECIALLY in California. The company has to prove if would be an un-due hardship for you to continue to do your job from home which is impossible to do if you&#39;ve been doing your job from home for months. It pisses me off so much that people don&#39;t know how this."
918,"HR is there to protect the company, provide the resources needed to do the work at the lowest attainable cost, and to manage the benefits they are actually willing to provide.  Some people in HR only do the last and think of themselves as proactive for the employees without realizing that they are working for an evil department.  Evil by design, but this is a top down issue.  Top management has to keep them in check or you get these stories.  I&#39;ve seen this time and again."
919,"if blizzard employees get treated and paid so badly why are some of their game masters .. whats the term... blizzards lapdogs i guess? GMs harrassed TF outta me while i was still playing WoW and i just HAD to quit. they just didnt want me playing their games for some reason. when overwatch came out it was the same experience. ceaslessly harrassed over jokes or even explaining to new people how to play, or even calling out hackers. i just had to give up. in the last email exchange before i quit and uninstalled everything i told them theyd eventually get sued for how they treat people. this was before the whole &quot;cosby bedroom&quot; thing surfaced. and a few years later... i get to enjoy their company falling apart."
920,How you solve this is is with unions and works councils. The only way to balance bad mangers and HR protecting them is by having a mighty counterbalance that has a say in all matters employment.
921,3 black badges!? That&#39;s insane! I knew Thor was legit but three black badges legit is an epic level. I would love to hear the story about those badges!
922,&quot;you either die a legend or become the villain&quot;
923,Got forced out of a job for complaining about the training. Get everything in writing.<br>A.G.
924,"@<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=3480"">58:00</a> , if somebody &quot;promoted me&quot; , didnt pay me for the promotion, and was withholding my ability to get a job so i can keep a roof over my head - i dont think i could actually mentally endure a rip off scam like that ; the realization that they will get away with it would be near immediate- and I&#39;d just be out for blood."
925,"So Test can get ahead of Dev, in a sense. You can have completed your prep work for backlog items that dev hasn&#39;t started yet. It also kind of requires the dreaded water-scrum-fall process, so it&#39;s a good thing that it happens rarely."
926,"Its hard for people to grasp a very real fact, you as an employee are EXPENDABLE. People really think companies and employers care about you?, oh my lord.<br>I have been in the workforce for 20 years, i have never been employed by a company for anything else but to make them money, period. <br>If im a cost, im out. That is the reality. And they will try to abuse the employee as much as they can get away with.<br>A simple solution is to flat out refuse extra work or quit. I know, ive always either refused to be exploited or quit my job because of it. My mental health is worth alot more than a job."
927,"Never accept new work or anything extra, unless the new contract has been verified in writing and signed before you start it. Never ever make contracts verbally."
928,"I love that line. &quot;Treat your customers with respect, and treat your employees the same.&quot; I worked retail for years before finding my current entry-level IT job, and my last retail location I had a job that I loved, but the pay was below living wage, I was forced out by my managers for fresh blood that started at a higher wage than I had(I had been there for 2 years without a raise), and the company would always take the side of the customer when it came to complaints, no matter how ridiculous they were. It was always &quot;Make the customer happy.&quot; Someone complains? Make them stop by bending to their demands. I had a few people who had unfounded complaints against me, and they resulted in me being pulled into the office for a chat where I needed to supply my version of the situation, and even though it was usually favorable on my end, I always felt like I was being reprimanded. The entire time I was there, it was a fight for more hours, and a constant question as to why I wasn&#39;t making the sales goals that the company had decided I needed to make. My position was an hourly paid position, but also had a commission aspect, which is I think why I never received a raise. The theory of that I don&#39;t need a raise due to my commission. My commission was over half of my pay, and I was only making on average $250-300/week(sales commission included), which made it really difficult to pay my bills. I also for the whole two years, tried to go full-time, almost begging my managers for more hours, hours that I would never receive. At the end, our manager was changed out for a new manager, who started telling me that she didn&#39;t have enough hours to keep scheduling me as much as she was, and I started seeing my hours consistently decreasing. The previous manager, the one who hired me had been honestly trying to get me more hours, but the new manager just seemed to be trying to get me to quit."
929,"hmm, if it was all really true, he could easily take them to court over it, we have stricter rules for employers in the uk and you can just take them to court for harassment and being forced to quit, they also cant stop you working, its against employment law, if all was true he could have taken them to court for 100k+, i think a few fibs are in there, not saying blizzard if a good employer but something doesnt add up with that guys story."
930,"Some of these issues are just universal I feel. Corpo whores trying to drain you for everything you&#39;re worth without any care for your humanity. At my other workplace the QA was absolutely trash, they never check anything, and anyone who actually does anything well just doesn&#39;t get the support they deserve. This is just common all around, the people doing the job correctly get passed over, they aren&#39;t given promotions, they aren&#39;t incentivised with more money. So the good ones leave and what are you left with? Just the shit, and the shit is willing to do shit jobs coz they&#39;re shit. So the shit rises to the top and becomes floating shit in a sea of other floaters. Then the company starts to fall apart in every area because incompetence is being pushed into leadership positions, and everyone suffers for it, especially the customers."
931,"I want to say that the non-compete he signed wouldn&#39;t be enforceable, even in the US. A lot of stories I&#39;ve read about non-competes, they get thrown out because they are overly broad or have a lack of compensation for the non-compete period. It really depends a lot on the local laws and regulations. If you ever find yourself in that situation, talk to some form of employment legal representation to see what your options are."
932,... and this is why I left &#39;zon after 9.5 years on the social media team. The do-nothing corporate parasites and fake-it-til-your-next-promotion crowd are truly revolting.
933,"I&#39;m going to disagree on just one point. HR&#39;s the devil as an organization. Maybe it&#39;s a scale thing, but every company I&#39;ve ever seen go to shit that I started out with? As soon as HR professionals get involved, everything goes to hell. The mark of the beast is a sign telling you where the HR department is."
934,Thank you for talking so openly about this.
935,Unfortunately never got to play any Blizzard games growing up. Sounds like it was a blast.
936,South Side is actually a lot better now. Cause the whole city has gone to shite brother. Glad you aren&#39;t here. Just getting home from monster trucks though so... it&#39;s still the same though...
937,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=3533"">58:53</a> I know if he lived in Canada he could tell them to get bent Ehy. They have wild court laws allowing them to bone the shit out of companies exploiting their workers in international positions <a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=3960"">1:06:00</a> thats a tragedy!!! American localizers are a step above a english nobleman colonizing the ivory coast going on about how barbaric these foreign lands are! native localization is super important."
938,"@<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=2630"">43:50</a>, I like your idea of red teaming HR / &quot;Offensive HR&quot; as a way to try to clean out the hot mess Blizzard became"
939,"The offensive HR is what Linux tech tip did last year when stuff went wrong.  At first they dismiss it, but about a week later they did a more serious investigation using an external HR."
940,"@<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=392"">6:32</a>, I dont even know half of the shit that <a href=""http://www.youtube.com/results?search_query=%23blizzard"">#Blizzard</a> has done. I am done with the brand and IP. Game studios are the source of a fair amount of abuse but <a href=""http://www.youtube.com/results?search_query=%23blizzardentertainment"">#BlizzardEntertainment</a> takes it way too far."
941,Reducing your pay without even telling you isn&#39;t even legal.  That&#39;s straight-up wage theft.
942,"Just to clarify, diablo 4 people weren&#39;t devs. They were artists for the game"
943,"Non-compete clauses are legal, but so are prenups, and they get tossed out all the time.<br>Break it and fight the lawsuit if they actually bother to pursue, usually they wont, because they almost always lose."
